"gachaId","cardId","rarity","weight","isPickup","isSelect"
1070,100984,4,1,0,1
1070,100997,3,2,0,1
1070,100998,3,2,0,1
1070,101020,2,3,0,1
1070,101021,2,3,0,1
1070,101022,2,3,0,1
1067,100982,4,1,0,0
1067,100983,4,1,0,0
1067,100996,3,2,0,0
1068,100075,2,3,0,0
1068,100182,2,3,0,0
1068,100348,2,3,0,0
1068,100232,2,3,0,0
1068,100417,2,3,0,0
1068,100755,2,3,0,0
1068,100077,3,2,0,0
1068,100271,3,2,0,0
1068,100425,3,2,0,0
1068,100758,3,2,0,0
1068,101000,3,2,0,0
1068,100284,4,1,0,0
1068,100767,4,1,0,0
1068,101293,4,1,0,0
1069,100069,2,3,0,0
1069,100183,2,3,0,0
1069,100349,2,3,0,0
1069,100233,2,3,0,0
1069,100416,2,3,0,0
1069,100071,3,2,0,0
1069,100272,3,2,0,0
1069,100427,3,2,0,0
1069,100805,3,2,0,0
1069,101300,3,2,0,0
1069,100285,4,1,0,0
1069,100768,4,1,0,0
1069,100988,4,1,0,0
1071,100275,4,1,0,0
1071,100437,4,1,0,0
1071,100780,4,1,0,0
1071,100006,3,2,0,0
1071,100007,3,2,0,0
1071,100249,3,2,0,0
1071,100262,3,2,0,0
1071,100418,3,2,0,0
1071,100003,2,3,0,0
1071,100004,2,3,0,0
1071,100173,2,3,0,0
1071,100223,2,3,0,0
1071,100339,2,3,0,0
1071,100692,2,3,0,0
1072,100017,4,1,0,0
1072,100276,4,1,0,0
1072,100760,4,1,0,0
1072,100015,3,2,0,0
1072,100016,3,2,0,0
1072,100250,3,2,0,0
1072,100263,3,2,0,0
1072,100423,3,2,0,0
1072,100765,3,2,0,0
1072,100012,2,3,0,0
1072,100013,2,3,0,0
1072,100174,2,3,0,0
1072,100224,2,3,0,0
1072,100340,2,3,0,0
1072,100693,2,3,0,0
1073,100026,4,1,0,0
1073,100277,4,1,0,0
1073,100761,4,1,0,0
1073,100024,3,2,0,0
1073,100025,3,2,0,0
1073,100251,3,2,0,0
1073,100264,3,2,0,0
1073,100430,3,2,0,0
1073,100021,2,3,0,0
1073,100022,2,3,0,0
1073,100175,2,3,0,0
1073,100225,2,3,0,0
1073,100341,2,3,0,0
1073,100694,2,3,0,0
1011,100454,4,1,0,0
1011,100980,4,1,0,0
1011,101553,4,1,0,0
1011,100253,3,1,0,0
1011,100241,3,1,0,0
1011,100240,3,1,0,0
1011,100239,3,1,0,0
1011,100238,3,1,0,0
1011,100237,3,1,0,0
1011,100236,3,1,0,0
1011,100261,3,1,0,0
1011,100246,3,1,0,0
1011,100245,3,1,0,0
1011,100242,3,1,0,0
1011,100243,3,1,0,0
1011,100254,3,1,0,0
1011,100338,3,1,0,0
1011,100337,3,1,0,0
1011,100336,3,1,0,0
1011,100248,3,1,0,0
1011,100247,3,1,0,0
1011,100244,3,1,0,0
1011,100259,3,1,0,0
1011,100257,3,1,0,0
1011,100258,3,1,0,0
1011,100636,3,1,0,0
1011,100634,3,1,0,0
1011,100255,3,1,0,0
1011,100256,3,1,0,0
1011,100252,3,1,0,0
1011,100638,3,1,0,0
1011,100639,3,1,0,0
1011,100637,3,1,0,0
1011,100772,3,1,0,0
1011,100667,3,1,0,0
1011,100666,3,1,0,0
1011,100665,3,1,0,0
1011,100643,3,1,0,0
1011,100640,3,1,0,0
1011,100641,3,1,0,0
1011,100642,3,1,0,0
1011,100688,3,1,0,0
1011,100645,3,1,0,0
1011,100646,3,1,0,0
1011,100644,3,1,0,0
1012,100644,3,1,0,0
1012,100646,3,1,0,0
1012,100645,3,1,0,0
1012,100688,3,1,0,0
1012,100642,3,1,0,0
1012,100641,3,1,0,0
1012,100640,3,1,0,0
1012,100643,3,1,0,0
1012,100665,3,1,0,0
1012,100666,3,1,0,0
1012,100667,3,1,0,0
1012,100634,3,1,0,0
1012,100636,3,1,0,0
1012,100772,3,1,0,0
1012,100638,3,1,0,0
1012,100637,3,1,0,0
1012,100639,3,1,0,0
1012,100252,3,1,0,0
1012,100256,3,1,0,0
1012,100255,3,1,0,0
1012,100258,3,1,0,0
1012,100257,3,1,0,0
1012,100259,3,1,0,0
1012,100244,3,1,0,0
1012,100247,3,1,0,0
1012,100248,3,1,0,0
1012,100336,3,1,0,0
1012,100337,3,1,0,0
1012,100338,3,1,0,0
1012,100254,3,1,0,0
1012,100243,3,1,0,0
1012,100242,3,1,0,0
1012,100245,3,1,0,0
1012,100246,3,1,0,0
1012,100261,3,1,0,0
1012,100236,3,1,0,0
1012,100237,3,1,0,0
1012,100238,3,1,0,0
1012,100239,3,1,0,0
1012,100240,3,1,0,0
1012,100241,3,1,0,0
1012,100253,3,1,0,0
1012,100454,4,1,0,0
1012,100980,4,1,0,0
1012,101553,4,1,0,0
1074,100985,4,1,0,0
1074,100999,3,1,0,0
1074,101000,3,1,0,0
1074,101023,2,1,0,0
1074,101024,2,1,0,0
1075,100060,4,1,0,0
1075,100434,4,1,0,0
1075,100059,3,1,0,0
1075,100268,3,1,0,0
1075,100420,3,1,0,0
1075,100763,3,1,0,0
1075,101003,3,1,0,0
1075,100057,2,1,0,0
1075,100179,2,1,0,0
1075,100229,2,1,0,0
1075,100345,2,1,0,0
1075,100415,2,1,0,0
1076,100054,4,1,0,0
1076,100282,4,1,0,0
1076,100726,4,1,0,0
1076,100053,3,1,0,0
1076,100269,3,1,0,0
1076,100422,3,1,0,0
1076,100757,3,1,0,0
1076,100051,2,1,0,0
1076,100180,2,1,0,0
1076,100230,2,1,0,0
1076,100346,2,1,0,0
1076,100414,2,1,0,0
1077,100984,4,1,0,1
1077,100997,3,1,0,1
1077,100998,3,1,0,1
1077,100986,4,1,0,1
1077,101001,3,1,0,1
1077,101002,3,1,0,1
1077,101025,2,1,0,1
1077,101026,2,1,0,1
1077,101027,2,1,0,1
1081,100987,4,1,0,0
1081,100988,4,1,0,0
1081,101003,3,1,0,0
1085,100008,4,1,0,1
1085,100017,4,1,0,1
1085,100026,4,1,0,1
1085,100034,4,1,0,1
1085,100041,4,1,0,1
1085,100048,4,1,0,1
1085,100054,4,1,0,1
1085,100060,4,1,0,1
1085,100066,4,1,0,1
1085,100078,4,1,0,1
1085,100072,4,1,0,1
1085,100084,4,1,0,1
1085,100090,4,1,0,1
1085,100282,4,1,0,1
1085,100285,4,1,0,1
1085,100284,4,1,0,1
1085,100286,4,1,0,1
1085,100280,4,1,0,1
1085,100276,4,1,0,1
1085,100277,4,1,0,1
1085,100275,4,1,0,1
1085,100278,4,1,0,1
1085,100431,4,1,0,1
1085,100407,4,1,0,1
1085,100432,4,1,0,1
1085,100433,4,1,0,1
1085,100434,4,1,0,1
1085,100435,4,1,0,1
1085,100436,4,1,0,1
1085,100437,4,1,0,1
1085,100438,4,1,0,1
1085,100439,4,1,0,1
1085,100760,4,1,0,1
1085,100761,4,1,0,1
1085,100779,4,1,0,1
1085,100767,4,1,0,1
1085,100780,4,1,0,1
1085,100784,4,1,0,1
1085,100768,4,1,0,1
1085,100725,4,1,0,1
1085,100726,4,1,0,1
1085,100984,4,1,0,1
1085,100985,4,1,0,1
1085,100987,4,1,0,1
1085,100988,4,1,0,1
1085,100986,4,1,0,1
1085,100989,4,1,0,1
1085,100982,4,1,0,1
1085,100983,4,1,0,1
1085,100787,4,1,0,1
1085,101293,4,1,0,1
1085,101294,4,1,0,1
1085,101295,4,1,0,1
1085,101296,4,1,0,1
1085,101297,4,1,0,1
1085,101320,4,1,0,1
1085,101567,4,1,0,1
1085,101592,4,1,0,1
1085,101593,4,1,0,1
1085,101594,4,1,0,1
1085,101595,4,1,0,1
1089,100989,4,1,0,0
1089,101004,3,1,0,0
1089,101005,3,1,0,0
1104,101293,4,1,0,0
1104,101294,4,1,0,0
1104,101298,3,1,0,0
1111,100008,4,1,0,1
1111,100017,4,1,0,1
1111,100026,4,1,0,1
1111,100034,4,1,0,1
1111,100041,4,1,0,1
1111,100048,4,1,0,1
1111,100054,4,1,0,1
1111,100060,4,1,0,1
1111,100066,4,1,0,1
1111,100078,4,1,0,1
1111,100072,4,1,0,1
1111,100084,4,1,0,1
1111,100090,4,1,0,1
1111,100282,4,1,0,1
1111,100285,4,1,0,1
1111,100284,4,1,0,1
1111,100286,4,1,0,1
1111,100280,4,1,0,1
1111,100276,4,1,0,1
1111,100277,4,1,0,1
1111,100275,4,1,0,1
1111,100278,4,1,0,1
1111,100431,4,1,0,1
1111,100407,4,1,0,1
1111,100432,4,1,0,1
1111,100433,4,1,0,1
1111,100434,4,1,1,1
1111,100435,4,1,1,1
1111,100436,4,1,0,1
1111,100437,4,1,0,1
1111,100438,4,1,0,1
1111,100439,4,1,0,1
1111,100760,4,1,1,1
1111,100761,4,1,0,1
1111,100779,4,1,0,1
1111,100767,4,1,0,1
1111,100780,4,1,1,1
1111,100784,4,1,1,1
1111,100768,4,1,0,1
1111,100725,4,1,1,1
1111,100726,4,1,1,1
1111,100985,4,1,1,1
1111,100988,4,1,1,1
1111,100989,4,1,1,1
1111,100982,4,1,1,1
1111,100983,4,1,1,1
1111,101293,4,1,1,1
1111,101294,4,1,1,1
1111,101295,4,1,1,1
1111,101320,4,1,1,1
1135,101567,4,1,0,0
1135,101592,4,1,0,0
1135,101594,4,1,0,0
1135,101595,4,1,0,0
1135,101566,3,1,0,0
1135,101602,3,1,0,0
1135,101603,3,1,0,0
1135,101619,2,1,0,0
1156,101604,3,1,0,0
1156,101605,3,1,0,0
1156,101607,3,1,0,0
1156,101608,3,1,0,0
1156,101596,4,1,0,0
1156,101597,4,1,0,0
1156,101599,4,1,0,0
1156,101600,4,1,0,0
1149,100003,2,1,0,0
1149,100004,2,1,0,0
1149,100012,2,1,0,0
1149,100013,2,1,0,0
1149,100021,2,1,0,0
1149,100022,2,1,0,0
1149,100173,2,1,0,0
1149,100174,2,1,0,0
1149,100175,2,1,0,0
1149,100339,2,1,0,0
1149,100340,2,1,0,0
1149,100341,2,1,0,0
1149,100223,2,1,0,0
1149,100224,2,1,0,0
1149,100225,2,1,0,0
1149,100692,2,1,0,0
1149,100693,2,1,0,0
1149,100694,2,1,0,0
1149,101020,2,1,0,0
1149,101025,2,1,0,0
1149,100418,3,1,0,0
1149,101005,3,1,0,0
1149,100785,3,1,0,0
1149,100786,3,1,0,0
1149,101602,3,1,0,0
1149,101604,3,1,0,0
1149,100760,4,1,0,0
1149,100780,4,1,0,0
1149,100987,4,1,0,0
1149,101295,4,1,0,0
1149,101296,4,1,0,0
1149,101592,4,1,0,0
1163,100008,4,1,0,1
1163,100017,4,1,0,1
1163,100026,4,1,0,1
1163,100034,4,1,0,1
1163,100041,4,1,0,1
1163,100048,4,1,0,1
1163,100054,4,1,0,1
1163,100060,4,1,0,1
1163,100066,4,1,0,1
1163,100078,4,1,0,1
1163,100072,4,1,0,1
1163,100084,4,1,0,1
1163,100090,4,1,0,1
1163,100282,4,1,0,1
1163,100285,4,1,0,1
1163,100284,4,1,0,1
1163,100286,4,1,0,1
1163,100280,4,1,0,1
1163,100276,4,1,0,1
1163,100277,4,1,0,1
1163,100275,4,1,0,1
1163,100278,4,1,0,1
1163,100431,4,1,0,1
1163,100407,4,1,0,1
1163,100432,4,1,0,1
1163,100433,4,1,0,1
1163,100434,4,1,0,1
1163,100435,4,1,0,1
1163,100436,4,1,0,1
1163,100437,4,1,0,1
1163,100438,4,1,0,1
1163,100439,4,1,0,1
1163,100760,4,1,0,1
1163,100761,4,1,0,1
1163,100779,4,1,0,1
1163,100767,4,1,0,1
1163,100780,4,1,0,1
1163,100784,4,1,0,1
1163,100768,4,1,0,1
1163,100725,4,1,0,1
1163,100726,4,1,0,1
1163,100984,4,1,0,1
1163,100985,4,1,0,1
1163,100987,4,1,0,1
1163,100988,4,1,0,1
1163,100986,4,1,0,1
1163,100989,4,1,0,1
1163,100982,4,1,0,1
1163,100983,4,1,0,1
1163,100787,4,1,0,1
1163,101293,4,1,0,1
1163,101294,4,1,0,1
1163,101295,4,1,0,1
1163,101296,4,1,0,1
1163,101297,4,1,0,1
1163,101320,4,1,0,1
1163,101567,4,1,0,1
1164,100008,4,1,0,1
1164,100017,4,1,0,1
1164,100026,4,1,0,1
1164,100034,4,1,0,1
1164,100041,4,1,0,1
1164,100048,4,1,0,1
1164,100054,4,1,0,1
1164,100060,4,1,0,1
1164,100066,4,1,0,1
1164,100078,4,1,0,1
1164,100072,4,1,0,1
1164,100084,4,1,0,1
1164,100090,4,1,0,1
1164,100282,4,1,0,1
1164,100285,4,1,0,1
1164,100284,4,1,0,1
1164,100286,4,1,0,1
1164,100280,4,1,0,1
1164,100276,4,1,0,1
1164,100277,4,1,0,1
1164,100275,4,1,0,1
1164,100278,4,1,0,1
1164,100431,4,1,0,1
1164,100407,4,1,0,1
1164,100432,4,1,0,1
1164,100433,4,1,0,1
1164,100434,4,1,0,1
1164,100435,4,1,0,1
1164,100436,4,1,0,1
1164,100437,4,1,0,1
1164,100438,4,1,0,1
1164,100439,4,1,0,1
1164,100760,4,1,0,1
1164,100761,4,1,0,1
1164,100779,4,1,0,1
1164,100767,4,1,0,1
1164,100780,4,1,0,1
1164,100784,4,1,0,1
1164,100768,4,1,0,1
1164,100725,4,1,0,1
1164,100726,4,1,0,1
1164,100984,4,1,0,1
1164,100985,4,1,0,1
1164,100987,4,1,0,1
1164,100988,4,1,0,1
1164,100986,4,1,0,1
1164,100989,4,1,0,1
1164,100982,4,1,0,1
1164,100983,4,1,0,1
1164,100787,4,1,0,1
1164,101293,4,1,0,1
1164,101294,4,1,0,1
1164,101295,4,1,0,1
1164,101296,4,1,0,1
1164,101297,4,1,0,1
1164,101320,4,1,0,1
1164,101567,4,1,0,1
1164,101592,4,1,0,1
1164,101593,4,1,0,1
1164,101594,4,1,0,1
1164,101595,4,1,0,1
1164,101598,4,1,0,1
1164,101596,4,1,0,1
1164,101597,4,1,0,1
1164,101599,4,1,0,1
1164,101600,4,1,0,1
1141,101600,4,1,0,1
1141,101608,3,1,0,1
