TitleId,DisplayName,Requirement,Value1,Value2,Rank,ImageFilePath,
1,"Unknown調査員",0,0,0,1,"DEG_1",
10001,"ビギニング",1,10,0,2,"DEG_10001",
10002,"ミドル・ホルダー",1,50,0,3,"DEG_10002",
10003,"ハイエスト・ホルダー",1,100,0,4,"DEG_10003",
10004,"アッパー・ランカー",1,200,0,5,"DEG_10004",
10005,"グラインド・マスター",1,300,0,5,"DEG_10005",
20001,"謎の少女；リコ",2,10018,0,3,"DEG_20001",
20002,"記憶の欠片",2,20014,0,3,"DEG_20002",
20004,"--error--error--",15,30017,0,3,"DEG_20004",
20005,"Master of Re:co",15,40023,0,3,"DEG_20005",
20006,"新しき友人",15,50019,0,4,"DEG_20006",
30001,"挑戦者",3,10,0,3,"DEG_30001",
30002,"下剋上",3,50,0,3,"DEG_30002",
30003,"達成者",3,100,0,3,"DEG_30003",
40001,"ブラッキー",4,1,50,3,"DEG_40001",
40002,"黒の剣士",4,1,100,5,"DEG_40002",
40003,"バーサクヒーラー",4,2,50,3,"DEG_40003",
40004,"閃光",4,2,100,5,"DEG_40004",
40005,"妖精剣士",4,3,50,3,"DEG_40005",
40006,"スピードホリック",4,3,100,5,"DEG_40006",
40007,"クールビューティ",4,4,50,3,"DEG_40007",
40008,"冥界の女神",4,4,100,5,"DEG_40008",
40009,"戦う鍛冶屋さん",4,5,50,3,"DEG_40009",
40010,"マスターメイサー",4,5,100,5,"DEG_40010",
40011,"中層のアイドル",4,6,50,3,"DEG_40011",
40012,"ドラゴンテイマー",4,6,100,5,"DEG_40012",
40013,"武士道を歩む者",4,7,50,3,"DEG_40013",
40014,"風林火山",4,7,100,5,"DEG_40014",
40015,"商人プレイヤー",4,8,50,3,"DEG_40015",
40016,"剛腕マスター",4,8,100,5,"DEG_40016",
40017,"スリーピング・ナイツ",4,9,50,3,"DEG_40017",
40018,"絶剣",4,9,100,5,"DEG_40018",
40019,"影の功労者",4,10,50,3,"DEG_40019",
40020,"鼠の情報屋",4,10,100,5,"DEG_40020",
40021,"整合騎士 第三十位",4,11,50,3,"DEG_40021",
40022,"金木犀の騎士",4,11,100,5,"DEG_40022",
40023,"上級修剣士",4,12,50,3,"DEG_40023",
40024,"青薔薇の騎士",4,12,100,5,"DEG_40024",
40025,"謎多き追跡者",4,18,50,3,"DEG_40025",
40026,"虹架ける歌声",4,18,100,5,"DEG_40026",
50001,"コレクション初級",5,10,0,2,"DEG_50001",
50002,"リソース収集家",5,50,0,3,"DEG_50002",
50003,"お宝ハンティング",5,100,0,4,"DEG_50003",
60001,"モンスター記録者",6,10,0,2,"DEG_60001",
60002,"モンスター博士",6,50,0,3,"DEG_60002",
60003,"モンスター・マスター",6,100,0,4,"DEG_60003",
70001,"パワーアップ初級",7,10,0,2,"DEG_70001",
70002,"リソース・トレーナー",7,50,0,3,"DEG_70002",
70003,"錬金術師",7,100,0,4,"DEG_70003",
80001,"調査報告・初級",8,10,0,2,"DEG_80001",
80002,"ベテラン調査員",8,50,0,3,"DEG_80002",
80003,"プロフェッショナル",8,100,0,4,"DEG_80003",
90001,"掃除屋",9,100,0,2,"DEG_90001",
90002,"ザ・スローター",9,500,0,3,"DEG_90002",
90003,"バウンティハンター",9,1000,0,4,"DEG_90003",
100001,"千里の道も一歩から",10,10,0,2,"DEG_100001",
100002,"雨垂れ石を穿つ",10,20,0,3,"DEG_100002",
100003,"質実剛健",10,30,0,4,"DEG_100003",
110003,"日々精進",11,30,0,0,"DEG_110003",
120001,"ビーター",12,0,0,3,"DEG_120001",
130001,"蒼穹を駆ける英傑：銅",13,4600,0,3,"DEG_130001",
130002,"蒼穹を駆ける英傑：銀",13,9700,0,4,"DEG_130002",
130003,"蒼穹を駆ける英傑：金",13,21600,0,5,"DEG_130003",
130011,"万天に通ずる鼠：銅",13,8400,0,3,"DEG_130011",
130012,"万天に通ずる鼠：銀",13,31500,0,4,"DEG_130012",
130013,"万天に通ずる鼠：金",13,63000,0,5,"DEG_130013",
130021,"心通う邂逅：銅",13,4100,0,3,"DEG_130021",
130022,"心通う邂逅：銀",13,47800,0,4,"DEG_130022",
130023,"心通う邂逅：金",13,143300,0,5,"DEG_130023",
130031,"かの剣技の継承者：銅",13,4100,0,3,"DEG_130031",
130032,"かの剣技の継承者：銀",13,47800,0,4,"DEG_130032",
130033,"かの剣技の継承者：金",13,143300,0,5,"DEG_130033",
130041,"咲き誇る技巧：銅",13,4100,0,3,"DEG_130041",
130042,"咲き誇る技巧：銀",13,52000,0,4,"DEG_130042",
130043,"咲き誇る技巧：金",13,143300,0,5,"DEG_130043",
130051,"まごころショコラティエ(銅)",13,1800,0,3,"DEG_130051",
130052,"まごころショコラティエ(銀)",13,58900,0,4,"DEG_130052",
130053,"まごころショコラティエ(金)",13,165400,0,5,"DEG_130053",
130061,"異界の女神(銅)",13,1800,0,3,"DEG_130061",
130062,"異界の女神(銀)",13,59300,0,4,"DEG_130062",
130063,"異界の女神(金)",13,166500,0,5,"DEG_130063",
130071,"クロス・イメージ(銅)",13,1800,0,3,"DEG_130071",
130072,"クロス・イメージ(銀)",13,59800,0,4,"DEG_130072",
130073,"クロス・イメージ(金)",13,167700,0,5,"DEG_130073",
130081,"灼熱！アタックガール(銅)",13,1800,0,3,"DEG_130081",
130082,"灼熱！アタックガール(銀)",13,59800,0,4,"DEG_130082",
130083,"灼熱！アタックガール(金)",13,167700,0,5,"DEG_130083",
130091,"0と1の狭間で(銅)",13,1800,0,3,"DEG_130091",
130092,"0と1の狭間で(銀)",13,59800,0,4,"DEG_130092",
130093,"0と1の狭間で(金)",13,167700,0,5,"DEG_130093",
130101,"変わらないもの(銅)",13,1800,0,3,"DEG_130101",
130102,"変わらないもの(銀)",13,59800,0,4,"DEG_130102",
130103,"変わらないもの(金)",13,167700,0,5,"DEG_130103",
130111,"サンタさん大作戦！(銅)",13,1800,0,3,"DEG_130111",
130112,"サンタさん大作戦！(銀)",13,59800,0,4,"DEG_130112",
130113,"サンタさん大作戦！(金)",13,167700,0,5,"DEG_130113",
130121,"いとしのショコラティエ(銅)",13,1800,0,3,"DEG_130121",
130122,"いとしのショコラティエ(銀)",13,59800,0,4,"DEG_130122",
130123,"いとしのショコラティエ(金)",13,167700,0,5,"DEG_130123",
130131,"ふたとせ廻りて(銅)",13,1800,0,3,"DEG_130131",
130132,"ふたとせ廻りて(銀)",13,59800,0,4,"DEG_130132",
130133,"ふたとせ廻りて(金)",13,167700,0,5,"DEG_130133",
130141,"私の現実(銅)",13,1800,0,3,"DEG_130141",
130142,"私の現実(銀)",13,59800,0,4,"DEG_130142",
130143,"私の現実(金)",13,167700,0,5,"DEG_130143",
130151,"にじさす未来(銅)",13,1800,0,3,"DEG_130151",
130152,"にじさす未来(銀)",13,59800,0,4,"DEG_130152",
130153,"にじさす未来(金)",13,167700,0,5,"DEG_130153",
130161,"大海の中の絆(銅)",13,1800,0,3,"DEG_130161",
130162,"大海の中の絆(銀)",13,59800,0,4,"DEG_130162",
130163,"大海の中の絆(金)",13,167700,0,5,"DEG_130163",
130171,"夢の逸楽(銅)",13,1800,0,3,"DEG_130171",
130172,"夢の逸楽(銀)",13,59800,0,4,"DEG_130172",
130173,"夢の逸楽(金)",13,167700,0,5,"DEG_130173",
130181,"忍ぶ外套(銅)",13,1800,0,3,"DEG_130181",
130182,"忍ぶ外套(銀)",13,59800,0,4,"DEG_130182",
130183,"忍ぶ外套(金)",13,167700,0,5,"DEG_130183",
130191,"駈走る雪原(銅)",13,1800,0,3,"DEG_130191",
130192,"駈走る雪原(銀)",13,59800,0,4,"DEG_130192",
130193,"駈走る雪原(金)",13,167700,0,5,"DEG_130193",
130201,"友愛はほろ苦く(銅)",13,1800,0,3,"DEG_130201",
130202,"友愛はほろ苦く(銀)",13,59800,0,4,"DEG_130202",
130203,"友愛はほろ苦く(金)",13,167700,0,5,"DEG_130203",
130211,"絆の軌跡(銅)",13,1800,0,3,"DEG_130211",
130212,"絆の軌跡(銀)",13,59800,0,4,"DEG_130212",
130213,"絆の軌跡(金)",13,167700,0,5,"DEG_130213",
130221,"一杯の息抜き(銅)",13,1800,0,3,"DEG_130221",
130222,"一杯の息抜き(銀)",13,59800,0,4,"DEG_130222",
130223,"一杯の息抜き(金)",13,167700,0,5,"DEG_130223",
140001,"スタンダードリーグ",14,2,5,1,"DEG_140001",
140002,"クラスフィフス",14,2,50,1,"DEG_140002",
140003,"クラスフォース",14,2,80,2,"DEG_140003",
140004,"クラスサード",14,2,130,3,"DEG_140004",
140005,"クラスセカンド",14,2,200,4,"DEG_140005",
140006,"クラスファースト",14,2,300,5,"DEG_140006",
140011,"スタンダードリーグ",14,3,5,1,"DEG_140011",
140012,"クラスフィフス",14,3,50,1,"DEG_140012",
140013,"クラスフォース",14,3,80,2,"DEG_140013",
140014,"クラスサード",14,3,130,3,"DEG_140014",
140015,"クラスセカンド",14,3,200,4,"DEG_140015",
140016,"クラスファースト",14,3,300,5,"DEG_140016",
140021,"スタンダードリーグ",14,4,5,1,"DEG_140021",
140022,"クラスフィフス",14,4,30,1,"DEG_140022",
140023,"クラスフォース",14,4,40,2,"DEG_140023",
140024,"クラスサード",14,4,55,3,"DEG_140024",
140025,"クラスセカンド",14,4,75,4,"DEG_140025",
140026,"クラスファースト",14,4,100,5,"DEG_140026",
140031,"スタンダードリーグ",14,5,5,1,"DEG_140031",
140032,"クラスフィフス",14,5,30,1,"DEG_140032",
140033,"クラスフォース",14,5,40,2,"DEG_140033",
140034,"クラスサード",14,5,55,3,"DEG_140034",
140035,"クラスセカンド",14,5,75,4,"DEG_140035",
140036,"クラスファースト",14,5,100,5,"DEG_140036",
140041,"スタンダードリーグ",14,6,5,1,"DEG_140041",
140042,"クラスフィフス",14,6,30,1,"DEG_140042",
140043,"クラスフォース",14,6,40,2,"DEG_140043",
140044,"クラスサード",14,6,55,3,"DEG_140044",
140045,"クラスセカンド",14,6,75,4,"DEG_140045",
140046,"クラスファースト",14,6,100,5,"DEG_140046",
150041,"スタンダードリーグ",14,7,5,1,"DEG_150041",
150042,"クラスフィフス",14,7,30,1,"DEG_150042",
150043,"クラスフォース",14,7,40,2,"DEG_150043",
150044,"クラスサード",14,7,55,3,"DEG_150044",
150045,"クラスセカンド",14,7,75,4,"DEG_150045",
150046,"クラスファースト",14,7,100,5,"DEG_150046",
140061,"スタンダードリーグ",14,8,5,1,"DEG_140061",
140062,"クラスフィフス",14,8,30,1,"DEG_140062",
140063,"クラスフォース",14,8,40,2,"DEG_140063",
140064,"クラスサード",14,8,55,3,"DEG_140064",
140065,"クラスセカンド",14,8,75,4,"DEG_140065",
140066,"クラスファースト",14,8,100,5,"DEG_140066",
140071,"スタンダードリーグ",14,9,5,1,"DEG_140071",
140072,"クラスフィフス",14,9,30,1,"DEG_140072",
140073,"クラスフォース",14,9,40,2,"DEG_140073",
140074,"クラスサード",14,9,55,3,"DEG_140074",
140075,"クラスセカンド",14,9,75,4,"DEG_140075",
140076,"クラスファースト",14,9,100,5,"DEG_140076",
140081,"スタンダードリーグ",14,10,5,1,"DEG_140081",
140082,"クラスフィフス",14,10,30,1,"DEG_140082",
140083,"クラスフォース",14,10,40,2,"DEG_140083",
140084,"クラスサード",14,10,55,3,"DEG_140084",
140085,"クラスセカンド",14,10,75,4,"DEG_140085",
140086,"クラスファースト",14,10,100,5,"DEG_140086",
140091,"スタンダードリーグ",14,11,5,1,"DEG_140091",
140092,"クラスフィフス",14,11,30,1,"DEG_140092",
140093,"クラスフォース",14,11,40,2,"DEG_140093",
140094,"クラスサード",14,11,55,3,"DEG_140094",
140095,"クラスセカンド",14,11,75,4,"DEG_140095",
140096,"クラスファースト",14,11,100,5,"DEG_140096",
140101,"スタンダードリーグ",14,12,5,1,"DEG_140101",
140102,"クラスフィフス",14,12,30,1,"DEG_140102",
140103,"クラスフォース",14,12,40,2,"DEG_140103",
140104,"クラスサード",14,12,55,3,"DEG_140104",
140105,"クラスセカンド",14,12,75,4,"DEG_140105",
140106,"クラスファースト",14,12,100,5,"DEG_140106",
140111,"スタンダードリーグ",14,13,5,1,"DEG_140111",
140112,"クラスフィフス",14,13,30,1,"DEG_140112",
140113,"クラスフォース",14,13,40,2,"DEG_140113",
140114,"クラスサード",14,13,55,3,"DEG_140114",
140115,"クラスセカンド",14,13,75,4,"DEG_140115",
140116,"クラスファースト",14,13,100,5,"DEG_140116",
140121,"スタンダードリーグ",14,14,5,1,"DEG_140121",
140122,"クラスフィフス",14,14,30,1,"DEG_140122",
140123,"クラスフォース",14,14,40,2,"DEG_140123",
140124,"クラスサード",14,14,55,3,"DEG_140124",
140125,"クラスセカンド",14,14,75,4,"DEG_140125",
140126,"クラスファースト",14,14,100,5,"DEG_140126",
140131,"スタンダードリーグ",14,15,5,1,"DEG_140131",
140132,"クラスフィフス",14,15,30,1,"DEG_140132",
140133,"クラスフォース",14,15,40,2,"DEG_140133",
140134,"クラスサード",14,15,55,3,"DEG_140134",
140135,"クラスセカンド",14,15,75,4,"DEG_140135",
140136,"クラスファースト",14,15,100,5,"DEG_140136",
140141,"スタンダードリーグ",14,16,5,1,"DEG_140141",
140142,"クラスフィフス",14,16,30,1,"DEG_140142",
140143,"クラスフォース",14,16,40,2,"DEG_140143",
140144,"クラスサード",14,16,55,3,"DEG_140144",
140145,"クラスセカンド",14,16,75,4,"DEG_140145",
140146,"クラスファースト",14,16,100,5,"DEG_140146",
140151,"スタンダードリーグ",14,17,5,1,"DEG_140151",
140152,"クラスフィフス",14,17,30,1,"DEG_140152",
140153,"クラスフォース",14,17,40,2,"DEG_140153",
140154,"クラスサード",14,17,55,3,"DEG_140154",
140155,"クラスセカンド",14,17,75,4,"DEG_140155",
140156,"クラスファースト",14,17,100,5,"DEG_140156",
160001,"月間称号《物思い耽る午後》",99,0,0,3,"DEG_160001",
160002,"月間称号《物思い耽る午後》 覚醒",99,0,0,5,"DEG_160002",
160003,"夏の特別称号《潮風の悪戯》",99,0,0,3,"DEG_160003",
160004,"夏の特別称号《潮風の悪戯》 覚醒",99,0,0,5,"DEG_160004",
160005,"月間称号《悪戯な視線》",99,0,0,3,"DEG_160005",
160006,"月間称号《悪戯な視線》 覚醒",99,0,0,5,"DEG_160006",
160007,"月間称号《花舞う昼下がり》",99,0,0,3,"DEG_160007",
160008,"月間称号《花舞う昼下がり》 覚醒",99,0,0,5,"DEG_160008",
160009,"月間称号《おやつ・タイム！》",99,0,0,3,"DEG_160009",
160010,"月間称号《おやつ・タイム！》 覚醒",99,0,0,5,"DEG_160010",
160011,"月間称号《妖精の戯れ》",99,0,0,3,"DEG_160011",
160012,"月間称号《妖精の戯れ》 覚醒",99,0,0,5,"DEG_160012",
160013,"月間称号《穏やかな一時》",99,0,0,3,"DEG_160013",
160014,"月間称号《穏やかな一時》 覚醒",99,0,0,5,"DEG_160014",
160015,"特別称号《プレゼント大作戦！》",99,0,0,3,"DEG_160015",
160016,"特別称号《プレゼント大作戦！》 覚醒",99,0,0,5,"DEG_160016",
160017,"月間称号《さかさま花世界》",99,0,0,3,"DEG_160017",
160018,"月間称号《さかさま花世界》 覚醒",99,0,0,5,"DEG_160018",
160019,"月間称号《休日の談笑》",99,0,0,3,"DEG_160019",
160020,"月間称号《休日の談笑》 覚醒",99,0,0,5,"DEG_160020",
160023,"月間称号《晴天の君》",99,0,0,3,"DEG_160023",
160024,"月間称号《晴天の君》 覚醒",99,0,0,5,"DEG_160024",
160021,"月間称号《安らぎの我が家》",99,0,0,3,"DEG_160021",
160022,"月間称号《安らぎの我が家》 覚醒",99,0,0,5,"DEG_160022",
160025,"月間称号《幸せの青い鳥》",99,0,0,3,"DEG_160025",
160026,"月間称号《幸せの青い鳥》 覚醒",99,0,0,5,"DEG_160026",
160027,"月間称号《秘密の甘邸》",99,0,0,3,"DEG_160027",
160028,"月間称号《秘密の甘邸》 覚醒",99,0,0,5,"DEG_160028",
160029,"特別称号《ふたとせ集ひて》",99,0,0,3,"DEG_160029",
160030,"特別称号《ふたとせ集ひて》覚醒",99,0,0,5,"DEG_160030",
160031,"月間称号《一輪の幼花》",99,0,0,3,"DEG_160031",
160032,"月間称号《一輪の幼花》 覚醒",99,0,0,5,"DEG_160032",
160033,"月間称号《寛ぎの我が家》",99,0,0,3,"DEG_160033",
160034,"月間称号《寛ぎの我が家》 覚醒",99,0,0,5,"DEG_160034",
160035,"月間称号《小径の花環》",99,0,0,3,"DEG_160035",
160036,"月間称号《小径の花環》 覚醒",99,0,0,5,"DEG_160036",
160037,"月間称号《虹架かる団らん》",99,0,0,3,"DEG_160037",
160038,"月間称号《虹架かる団らん》 覚醒",99,0,0,5,"DEG_160038",
160039,"特別称号《贈る一番星》",99,0,0,3,"DEG_160039",
160040,"特別称号《贈る一番星》 覚醒",99,0,0,5,"DEG_160040",
160041,"月間称号《約束の花束》",99,0,0,3,"DEG_160041",
160042,"月間称号《約束の花束》 覚醒",99,0,0,5,"DEG_160042",
990001,"新世界の伝道師",99,4,0,5,"DEG_990001",
